EPSIODE;EPOCH;GAP_VALUE;VALUE_FUNCTION;COORD_X;COORD_Y
0;0;0.0;5000.0;300;300
0;1;0.02126524283210244;5003.33149375;339;300
0;2;0.04253048566420488;5006.6629875;339;339
0;3;0.12248410831835535;5019.188825848765;374;339
0;4;0.2024377309725058;5031.7146641975305;374;374
0;5;0.3014125916472649;5047.220441975309;406;374
0;6;0.40038745232201817;5062.726219753086;406;406
0;7;0.4925552617282728;5077.165579012346;440;406
0;8;0.4925552617282728;5061.212357947531;440;373
0;9;0.4925552617282728;5063.6827220679015;479;373
0;10;0.4925552617282728;5051.129333179012;479;337
0;11;0.4925552617282728;5048.340185030865;439;337
0;12;0.4925552617282728;5060.450085108025;439;372
0;13;0.4925552617282728;5045.83749375;405;372
0;14;0.4925552617282728;5061.2488517746915;405;404
0;15;0.4925552617282728;5076.02699375;405;438
0;16;0.5785611296804046;5090.639585108025;439;438
0;17;0.5979734160305098;5093.680787654321;478;438
0;18;0.5979734160305098;5080.357807330247;503;438
0;19;0.5979734160305098;5069.03367654321;514;438
0;20;0.5979734160305098;5072.63427029321;514;477
0;21;0.6068341603145778;5095.068945524691;485;477
0;22;0.6068341603145778;5081.514359104938;485;503
0;23;0.6068341603145778;5082.454173919753;445;503
0;24;0.6068341603145778;5081.896109799382;484;503
0;25;0.6173315002462078;5096.713498688272;484;467
0;26;0.6173315002462078;5083.440544290123;505;467
0;27;0.6173315002462078;5074.85974683642;505;428
0;28;0.6173315002462078;5064.093543132716;515;428
0;29;0.6173315002462078;5048.564718364198;515;395
0;30;0.6173315002462078;5039.033573996913;522;395
0;31;0.6173315002462078;5065.057573996914;498;395
0;32;0.6173315002462078;5049.533992515432;498;361
0;33;0.6173315002462078;5064.06589375;498;393
0;34;0.6173315002462078;5074.7945369598765;460;393
0;35;0.6173315002462078;5090.066309799383;460;425
0;36;0.6173315002462078;5080.721598688271;496;425
0;37;0.6173315002462078;5090.527732098765;496;462
0;38;0.6173315002462078;5080.293886419753;496;424
0;39;0.6173315002462078;5090.475609799382;496;461
0;40;0.6173315002462078;5080.293886419753;496;424
0;41;0.6173315002462078;5089.349183873457;457;424
0;42;0.6173315002462078;5073.516962808642;457;391
0;43;0.6173315002462078;5058.462623302469;457;357
0;44;0.6173315002462078;5073.024629552469;457;390
0;45;0.6173315002462078;5061.4375;420;390
0;46;0.6173315002462078;5076.890813580247;420;422
0;47;0.6173315002462078;5060.8603073302465;387;422
0;48;0.6173315002462078;5076.438628317901;419;422
0;49;0.6173315002462078;5060.494370216049;419;389
0;50;0.6173315002462078;5072.2705813271605;455;389
0;51;0.6173315002462078;5065.355073919753;493;389
0;52;0.6173315002462078;5072.118850540123;454;389
0;53;0.6173315002462078;5065.928955478395;492;389
0;54;0.6173315002462078;5051.137444367284;492;355
0;55;0.6173315002462078;5056.9849505401235;452;355
0;56;0.6173315002462078;5048.629293827161;452;316
0;57;0.6173315002462078;5043.330424614198;491;316
0;58;0.6173315002462078;5051.334936959876;491;354
0;59;0.6173315002462078;5038.328028395062;508;354
0;60;0.6173315002462078;5056.9635739969135;475;354
0;61;0.6173315002462078;5043.85204691358;502;354
0;62;0.6173315002462078;5057.851158024691;466;354
0;63;0.6173315002462078;5072.016751774691;466;387
0;64;0.6173315002462078;5087.595072762346;466;419
0;65;0.6173315002462078;5078.986313503086;428;419
0;66;0.6173315002462078;5090.762524614198;428;455
0;67;0.6342963969561328;5099.371283873456;466;455
0;68;0.6342963969561328;5092.455776466049;466;493
0;69;0.6342963969561328;5083.84701720679;428;493
0;70;0.6342963969561328;5090.610793827161;428;454
0;71;0.6342963969561328;5099.21955308642;466;454
0;72;0.6342963969561328;5087.1386641975305;466;418
0;73;0.6342963969561328;5078.529904938272;428;418
0;74;0.6342963969561328;5087.1386641975305;466;418
0;75;0.6342963969561328;5071.0472097993825;466;385
0;76;0.6342963969561328;5086.6782517746915;466;417
0;77;0.6342963969561328;5070.565658024691;466;384
0;78;0.6342963969561328;5061.956898765432;428;384
0;79;0.6342963969561328;5077.6052938271605;428;416
0;80;0.6342963969561328;5090.2684049382715;428;452
0;81;0.6342963969561328;5098.877164197531;466;452
0;82;0.6342963969561328;5093.578294984568;466;491
0;83;0.6342963969561328;5098.687072762345;466;451
0;84;0.6342963969561328;5094.102041975309;466;490
0;85;0.6342963969561328;5085.493282716049;428;490
0;86;0.6342963969561328;5071.962627160494;428;508
0;87;0.6342963969561328;5090.598172762346;428;475
0;88;0.6342963969561328;5077.486645679012;428;502
0;89;0.6342963969561328;5086.095404938272;466;502
0;90;0.6342963969561328;5077.486645679012;428;502
0;91;0.6342963969561328;5065.316275308642;428;514
0;92;0.6342963969561328;5087.750950540123;428;485
0;93;0.6342963969561328;5072.222125771605;395;485
0;94;0.6342963969561328;5073.161940586419;395;445
0;95;0.6342963969561328;5057.638359104938;361;445
0;96;0.6342963969561328;5057.080294984568;361;484
0;97;0.6342963969561328;5043.80734058642;361;505
0;98;0.6342963969561328;5033.834099845679;323;505
0;99;0.6342963969561328;5043.4212480709875;360;505
0;100;0.6342963969561328;5058.339241820988;393;505
